"COMPLEX_CATEGORY","COMPLEX_NAME","FACILITY_TYPE","FACILITY_NAME","TIER","ADDRESS","TYP_OF_ORG","ORG","STEWARD","OPER","LABEL","WEBSITE","PHONE","NOTES","ACTIVE_LIVING_PROGRAM","GYM","GYMNAST_FAC","FITNSS_WGHT","FIT_STUDIO","MULTI_PURP_ROOMS","MEET_ROOMS","INDR_POOL","OUTDR_POOL","FW_25M","FW_50M","FW_18M","LANES_POOL","TEACH_POOL","WAVE_POOL","OTHER_POOL","INDR_WAD_POOL","DIVING_TANK","SPRINGBOARD","PLATFORM","DIVE_SLIDE","PLAY_SLIDE","ROPE_SWING","STEAM","HOT_TUB","SAUNA","CLIMB_WALL","TRACK_INDR","OUTDR_WAD_POOL","SPRAY_PARK","ICE_INDR","STAND_ICE","NHL_ICE","OLYMP_ICE","FIG_SKATING","CURL_RNK","CURL_SHEETS","INDR_SURFACE","INDR_TURF","DRY_PAD","RACQFAC_INDR","SQUASH_CRTS","RAQBALL_CRTS","BADMINT_CRTS","TENNIS_CRT","OUTDR_FIELD","ARTF_TURF_OUTDR","DIAM_FAC_OUTDR","TRACK_OUTDR","PUBLIC_GLF","SEMI_PRIV_GLF","HOLE_18","HOLE_9","DRIVERANG_OUTDR","DRIVERANG_INDR","SKI_NORDICTRCK","MUNICPAL_OP","NOTPROFIT_OP","PROFIT_OP","PRIVATE_OP","POINT"
"Arenas (except Leisure Centre arenas)","Father David Bauer and Norma Bush Arenas","Arena","Ice",,"2424 UNIVERSITY DR NW","Municipal","Recreation","Recreation","Recreation","Norma Bush Arena","https://www.calgary.ca/rec-locations/arenas/norma-bush.html","311","185' x 85' ice rink with 60 seat capacity","N","0","N","N","0","0","0","N","N","0","0","0","0","N","N","N","N","N","N","N","0","0","N","N","N","N","N","N","N","N","Y","1","0","0","Y","N","0","N","0","0","N","0","0","0","0","N","0","N","N","N","N","N","N","N","N","N","Y","N","N","N","POINT (-114.1255878 51.0734361)"
,"CKE Skatepark","Skate Park",,,"1015 73 AV SW","Municipal","Parks","Parks","Parks","CKE Skatepark","https://www.calgary.ca/rec-locations/skate-parks.html","311",,"N","0","N","N","0","0","0","N","N","0","0","0","0","N","N","N","N","N","N","N","0","0","N","N","N","N","N","N","N","N","N","0","0","0","N","N","0","N","0","0","N","0","0","0","0","N","0","N","N","N","N","N","N","N","N","N","Y","N","N","N","POINT (-114.0839288 50.9873662)"
"Athletic Parks","Tom Brook Athletic Park","Athletic Park",,,"2000 SOUTHLAND DR SW","Municipal","Recreation","Recreation","Recreation","Tom Brook Athletic Park","https://www.calgary.ca/rec-locations/athletic-parks/tom-brook.html","311","One regulation soccer field with lights, and one softball diamond (264')","N","0","N","N","0","0","0","N","N","0","0","0","0","N","N","N","N","N","N","N","0","0","N","N","N","N","N","N","N","N","N","0","0","0","N","N","0","N","0","0","N","0","0","0","0","Y","0","Y","N","N","N","N","N","N","N","N","Y","N","N","N","POINT (-114.107835 50.9638601)"
"Aquatic & Fitness Centres","Glenmore Aquatic Centre","Aquatic & Fitness Centre",,"1","5330 19 ST SW","Municipal","Recreation","Water Resources","Recreation","Glenmore Aquatic Centre","https://www.calgary.ca/rec-locations/pools/glenmore.html","311","Six-lane, 25m pool, dive tank with 1m diving board, hot tub and multi-purpose room","Y","0","N","N","0","1","0","Y","N","1","0","0","6","N","N","N","N","Y","Y","N","1","0","N","N","Y","N","N","N","N","N","N","0","0","0","N","N","0","N","0","0","N","0","0","0","0","N","0","N","N","N","N","N","N","N","N","N","Y","N","N","N","POINT (-114.1054257 51.0062417)"
"Arenas (except Leisure Centre arenas)","Stu Peppard Arena","Arena","Ice",,"5320 19 ST SW","Municipal","Recreation","Water Resources","Recreation","Stu Peppard Arena","https://www.calgary.ca/rec-locations/arenas/stu-peppard.html","311","185' x 85' ice rink with 550 seat capacity, and dry pad activities from Apr. 10 - Aug. 6","N","0","N","N","0","0","0","N","N","0","0","0","0","N","N","N","N","N","N","N","0","0","N","N","N","N","N","N","N","N","Y","1","0","0","N","N","0","Y","0","1","N","0","0","0","0","N","0","N","N","N","N","N","N","N","N","N","Y","N","N","N","POINT (-114.1037498 51.0063937)"
,"Saddletowne YMCA","Leisure Centre",,,"7556 FALCONRIDGE BV NE","Not-for-Profit","YMCA","Parks","YMCA Calgary","Saddletowne YMCA","https://www.ymcacalgary.org/locations/saddletowne-ymca","403-237-2393","25m pool, teach pool, fitness/weights, track, gym, climbing wall, 2 fitness studios, hot tub, steam rooms","Y","1","N","Y","2","0","0","Y","N","1","0","0","6","Y","N","N","N","N","N","N","0","0","N","Y","Y","N","Y","Y","N","N","N","0","0","0","N","N","0","N","0","0","N","0","0","0","0","N","0","N","N","N","N","N","N","N","N","N","N","Y","N","N","POINT (-113.94786 51.1203202)"
"Golf Courses","Maple Ridge Golf Course","Golf Course - Municipal","Golf Course",,"1240 MAPLEGLADE DR SE","Municipal","Parks","Recreation","Parks","Maple Ridge Golf Course","https://www.calgary.ca/rec-locations/golf/maple-ridge.html","403-300-1004","18 hole, practice putting green","N","0","N","N","0","0","0","N","N","0","0","0","0","N","N","N","N","N","N","N","0","0","N","N","N","N","N","N","N","N","N","0","0","0","N","N","0","N","0","0","N","0","0","0","0","N","0","N","N","Y","N","Y","N","N","N","Y","Y","N","N","N","POINT (-114.032994 50.9523092)"
"Athletic Parks","Ernest Manning Athletic Park","Athletic Park","Ernest Manning Artificial Turf Field",,"20 SPRINGBOROUGH BV SW","Municipal","Recreation","Parks","Recreation","Ernest Manning Athletic Park","https://www.calgary.ca/rec-locations/athletic-parks/ernest-manning.html","311","One competition-sized artificial turf field","N","0","N","N","0","0","0","N","N","0","0","0","0","N","N","N","N","N","N","N","0","0","N","N","N","N","N","N","N","N","N","0","0","0","N","N","0","N","0","0","N","0","0","0","0","Y","1","N","N","N","N","N","N","N","N","N","Y","N","N","N","POINT (-114.1921601 51.03643)"
"Aquatic & Fitness Centres","Bob Bahan Aquatic & Fitness Centre","Aquatic & Fitness Centre",,"2","4812 14 AV SE","Municipal","Recreation","Recreation","Recreation","Bob Bahan Aquatic & Fitness Centre","https://www.calgary.ca/rec-locations/pools/bob-bahan.html","311","Six-lane, 25m pool, dive tank with 1m diving board, hot tub, steam room, weight room, cardio equipment, fitness studio and multipurpose room","Y","0","N","Y","1","0","0","Y","N","1","0","0","6","N","N","N","N","Y","Y","N","1","0","N","Y","Y","N","N","N","N","N","N","0","0","0","N","N","0","N","0","0","N","0","0","0","0","N","0","N","N","N","N","N","N","N","N","N","Y","N","N","N","POINT (-113.9639755 51.0413049)"
"Athletic Parks","Optimist Athletic Park","Athletic Park",,,"5020 26 AV SW","Municipal","Recreation","Recreation","Recreation","Optimist Athletic Park","https://www.calgary.ca/rec-locations/athletic-parks/optimist.html","311","One soccer field, two lacrosse fields, baseball diamond (400'), six softball diamonds, little league diamond and one unfenced little league diamond (275')","N","0","N","N","0","0","0","N","N","0","0","0","0","N","N","N","N","N","N","N","0","0","N","N","N","N","N","N","N","N","N","0","0","0","N","N","0","N","0","0","N","0","0","0","0","Y","0","Y","N","N","N","N","N","N","N","N","Y","N","N","N","POINT (-114.1615617 51.033288)"
,"Trico Centre for Family Wellness","Leisure Centre",,,"11150 BONAVENTURE DR SE","Not-for-Profit","FLCASC","Parks","Family Leisure Centre Assoc. of Southeast Calgary","Trico Centre for Family Wellness","https://www.tricocentre.ca/","403-278-7542","2 ice rinks, running track, fitness/weights, gym, 3 fitness studios, hot tub, steam room, wave pool, meeting rooms","Y","1","N","Y","2","5","6","Y","N","0","0","0","0","N","Y","N","N","N","N","N","0","0","N","Y","Y","N","N","Y","N","N","Y","0","2","0","N","N","0","N","0","0","N","0","0","0","0","N","0","Y","N","N","N","N","N","N","N","N","N","Y","N","N","POINT (-114.0589608 50.9522528)"
"Arenas (except Leisure Centre arenas)","Optimist and George Blundun Arenas","Arena","Ice",,"5020 26 AV SW","Municipal","Recreation","Recreation","Recreation","Optimist Arena","https://www.calgary.ca/rec-locations/arenas/optimist.html","311","185' x 85' ice rink with 300 seat capacity, and dry pad activities from Apr. 10 - Aug. 6","N","0","N","N","0","0","1","N","N","0","0","0","0","N","N","N","N","N","N","N","0","0","N","N","N","N","N","N","N","N","Y","1","0","0","N","N","0","Y","0","1","N","0","0","0","0","N","0","N","N","N","N","N","N","N","N","N","Y","N","N","N","POINT (-114.1601394 51.032302)"
,"Acadia Recreation Complex","Arena",,,"240 90 AV SE","Not-for-Profit","CA","Parks","Acadia CA","Acadia Recreation Complex","https://www.acadiarec.com/","403-255-1252","Ice rink, curling (10 sheets), 5 squash and racquetball courts","N","0","N","N","0","0","0","N","N","0","0","0","0","N","N","N","N","N","N","N","0","0","N","N","N","N","N","N","N","N","Y","1","0","0","N","Y","10","Y","0","1","Y","5","5","0","0","N","0","N","N","N","N","N","N","N","N","N","N","Y","N","N","POINT (-114.0652341 50.9730512)"
"Aquatic & Fitness Centres","Acadia Aquatic & Fitness Centre","Aquatic & Fitness Centre",,"1","9009 FAIRMOUNT DR SE","Municipal","Recreation","Recreation","Recreation","Acadia Aquatic & Fitness Centre","https://www.calgary.ca/rec-locations/pools/acadia.html","311","Six-lane, 25m pool, 2m pool slide, weight room, cardio equipment, fitness studio and multipurpose room","Y","0","N","Y","0","1","0","Y","N","1","0","0","6","N","N","N","N","N","N","N","0","1","Y","N","N","N","N","N","N","N","N","0","0","0","N","N","0","N","0","0","N","0","0","0","0","N","0","N","N","N","N","N","N","N","N","N","Y","N","N","N","POINT (-114.0601721 50.9734842)"
"Athletic Parks","Foothills Athletic Park","Athletic Park",,,"2424 UNIVERSITY DR NW","Municipal","Recreation","Recreation","Recreation","Foothills Athletic Park","https://www.calgary.ca/rec-locations/athletic-parks/foothills.html","311","Three regulation soccer fields, little league baseball diamond, 400m running track, eight public tennis courts and 12 public pickleball courts","N","0","N","N","0","0","0","N","N","0","0","0","0","N","N","N","N","N","N","N","0","0","N","N","N","N","N","N","N","N","N","0","0","0","N","N","0","N","0","0","N","0","0","0","8","Y","0","Y","Y","N","N","N","N","N","N","N","Y","N","N","N","POINT (-114.1241849 51.073274)"
,"Mount Pleasant Outdoor Pool","Outdoor Pool",,,"630 22 AV NW","Not-for-Profit","COSPA","Parks","COSPA","Mount Pleasant Outdoor Pool","https://www.calgaryoutdoorpools.ca/","403-207-5665","Free form pool with tot area","N","0","N","N","0","0","0","N","Y","0","0","0","0","N","N","Y","N","N","N","N","0","0","N","N","N","N","N","N","N","N","N","0","0","0","N","N","0","N","0","0","N","0","0","0","0","N","0","N","N","N","N","N","N","N","N","N","Y","Y","N","N","POINT (-114.0755791 51.0728712)"
,"Remington YMCA in Quarry Park","Leisure Centre",,,"108 QUARRY PARK RD SE","Not-for-Profit","YMCA","Recreation","Remington YMCA","Remington YMCA in Quarry Park","https://www.ymcacalgary.org/locations/remington-ymca-quarry-park","403-351-6678","25m pool (6 lane), small leisure pool, fitness centre, fitness studios, indoor track, gym, large/small multi-purpose rooms","Y","1","N","Y","1","2","0","Y","N","1","0","0","6","N","N","N","N","N","N","N","0","0","N","Y","Y","N","N","N","N","N","N","0","0","0","N","N","0","N","0","0","N","0","0","0","0","N","0","N","N","N","N","N","N","N","N","N","N","N","N","N","POINT (-114.006106 50.9617539)"
,"Riley Park Wading Pool","Outdoor Wading Pool",,,"800 12 ST NW","Municipal","Parks","Recreation","Recreation","Riley Park Wading Pool","https://www.calgary.ca/parks/activities/outdoor-pools-spray-parks.html","311",,"N","0","N","N","0","0","0","N","N","0","0","0","0","N","N","N","N","N","N","N","0","0","N","N","N","N","N","N","Y","N","N","0","0","0","N","N","0","N","0","0","N","0","0","0","0","N","0","N","N","N","N","N","N","N","N","N","Y","Y","N","N","POINT (-114.0891878 51.0588614)"
"Arenas (except Leisure Centre arenas)","Father David Bauer and Norma Bush Arenas","Arena","Ice",,"2424 UNIVERSITY DR NW","Municipal","Recreation","Recreation","Recreation","Father David Bauer Arena","https://www.calgary.ca/rec-locations/arenas/father-david-bauer.html","311","200' x 100' ice rink with 1750 seat capacity","N","0","N","N","0","0","1","N","N","0","0","0","0","N","N","N","N","N","N","N","0","0","N","N","N","N","N","N","N","N","Y","0","0","1","N","N","0","Y","0","1","N","0","0","0","0","N","0","N","N","N","N","N","N","N","N","N","Y","N","N","N","POINT (-114.1263475 51.0737779)"
,"Oakridge Community Association","Arena",,,"9504 OAKFIELD DR SW","Not-for-Profit","CA","Parks","Oakridge CA","Oakridge Community Association","https://oakridgecommunity.ca/arena-info/","403-238-0007","Ice rink, squash, hall","N","0","N","N","0","0","0","N","N","0","0","0","0","N","N","N","N","N","N","N","0","0","N","N","N","N","N","N","N","N","Y","1","0","0","N","N","0","N","0","0","Y","1","0","0","0","N","0","N","N","N","N","N","N","N","N","N","N","Y","N","N","POINT (-114.1317524 50.9685028)"
,"Triwood Community Association","Arena",,,"2244 CHICOUTIMI DR NW","Not-for-Profit","CA","Parks","Triwood CA","Triwood Community Association","https://www.triwoodcommunity.com/","403-282-2677","Ice rink","N","0","N","N","0","0","0","N","N","0","0","0","0","N","N","N","N","N","N","N","0","0","N","N","N","N","N","N","N","N","Y","1","0","0","N","N","0","Y","0","1","N","0","0","0","0","N","0","N","N","N","N","N","N","N","N","N","N","Y","N","N","POINT (-114.11089 51.08626)"
"Athletic Parks","Shouldice Athletic Park","Athletic Park",,,"1515 HOME RD NW","Municipal","Recreation","Recreation","Recreation","Shouldice Athletic Park","https://www.calgary.ca/rec-locations/athletic-parks/shouldice.html","311","Four natural turf fields, three artificial turf fields (one air-supported dome), four softball diamonds (240'), three softball diamonds and one diamond (370')","N","0","N","N","0","0","0","N","N","0","0","0","0","N","N","N","N","N","N","N","0","0","N","N","N","N","N","N","N","N","N","0","0","0","N","N","0","N","0","0","N","0","0","0","0","Y","3","Y","N","N","N","N","N","N","N","N","Y","N","N","N","POINT (-114.1694447 51.0739915)"
"Aquatic & Fitness Centres","Sir Winston Churchill Aquatic & Recreation Centre","Aquatic & Fitness Centre",,"2","1520 NORTHMOUNT DR NW","Municipal","Recreation","Recreation","Recreation","Sir Winston Churchill Aquatic & Recreation Centre","https://www.calgary.ca/rec-locations/pools/sir-winston-churchill.html","311","Six-lane, 25m pool, dive tank, hot tub, steam room, weight room, cardio equipment and fitness studio","Y","0","N","Y","0","0","0","Y","N","1","0","0","6","N","N","N","N","N","N","N","0","0","N","Y","Y","N","N","N","N","N","N","0","0","0","N","N","0","N","0","0","N","0","0","0","0","N","0","N","N","N","N","N","N","N","N","N","Y","N","N","N","POINT (-114.1379325 51.0968905)"
"Athletic Parks","New Brighton Athletic Park","Athletic Park",,,"5801 130 AV SE","Municipal","Recreation","Recreation","Recreation","New Brighton Athletic Park","https://www.calgary.ca/rec-locations/athletic-parks/new-brighton.html","311","Four natural turf fields, one natural turf baseball diamond, and a skatepark","N","0","N","N","0","0","0","N","N","0","0","0","0","N","N","N","N","N","N","N","0","0","N","N","N","N","N","N","N","N","N","0","0","0","N","N","0","N","0","0","N","0","0","0","0","Y","0","Y","N","N","N","N","N","N","N","N","Y","N","N","N","POINT (-113.9506376 50.9277328)"
,"Crowchild Twin Arenas","Arena",,,"185 SCENIC ACRES DR NW","Not-for-Profit","CTAA","Parks","Crowchild Twin Arena Assoc.","Crowchild Twin Arenas",,"403-239-0171","2 ice rinks, 2 meeting rooms","N","0","N","N","0","0","2","N","N","0","0","0","0","N","N","N","N","N","N","N","0","0","N","N","N","N","N","N","N","N","Y","2","0","0","N","N","0","N","0","0","N","0","0","0","0","N","0","N","N","N","N","N","N","N","N","N","N","Y","N","N","POINT (-114.2117333 51.1120679)"
"Golf Courses","Lakeview Golf Course","Golf Course - Municipal","Golf Course",,"5840 19 ST SW","Municipal","Parks","Recreation","Parks","Lakeview Golf Course","https://www.calgary.ca/rec-locations/golf/lakeview.html","403-300-1003","9 hole, practice putting green","N","0","N","N","0","0","0","N","N","0","0","0","0","N","N","N","N","N","N","N","0","0","N","N","N","N","N","N","N","N","N","0","0","0","N","N","0","N","0","0","N","0","0","0","0","N","0","N","N","Y","N","N","Y","N","N","N","Y","N","N","N","POINT (-114.1068464 51.0005944)"
"Arenas (except Leisure Centre arenas)","Stew Hendry and Henry Viney Arenas","Arena","Ice",,"810 13 AV NE","Municipal","Recreation","Recreation","Recreation","Stew Hendry Arena","https://www.calgary.ca/rec-locations/arenas/stew-hendry.html","311","185' x 85' ice rink with 150 seat capacity","N","0","N","N","0","0","0","N","N","0","0","0","0","N","N","N","N","N","N","N","0","0","N","N","N","N","N","N","N","N","Y","1","0","0","N","N","0","Y","0","1","N","0","0","0","0","N","0","N","N","N","N","N","N","N","N","N","Y","N","N","N","POINT (-114.0447057 51.0651839)"
"Miscellaneous Complexes","Calgary Soccer Centre","Soccer Centre","Soccer Fields",,"7000 48 ST SE","Municipal","Recreation","Recreation","Recreation","Calgary Soccer Centre","https://www.calgary.ca/rec-locations/soccer-centre.html","403-268-3800 #2","Eight indoor boarded fields, three outdoor competition-sized artificial turf fields, and one non-boarded competition-sized AT covered by an air-supported structure","N","0","N","N","0","0","0","N","N","0","0","0","0","N","N","N","N","N","N","N","0","0","N","N","N","N","N","N","N","N","N","0","0","0","N","N","0","Y","8","0","N","0","0","0","0","Y","3","N","N","N","N","N","N","N","N","N","Y","N","N","N","POINT (-113.9609424 50.99245)"
"Arenas (except Leisure Centre arenas)","Optimist and George Blundun Arenas","Arena","Ice",,"5020 26 AV SW","Municipal","Recreation","Recreation","Recreation","George Blundun Arena","https://www.calgary.ca/rec-locations/arenas/george-blunden.html","311","185' x 85' ice rink with 200 seat capacity, and dry pad activities from Apr. 10 - Aug. 6","N","0","N","N","0","0","0","N","N","0","0","0","0","N","N","N","N","N","N","N","0","0","N","N","N","N","N","N","N","N","Y","1","0","0","N","N","0","N","0","0","N","0","0","0","0","N","0","N","N","N","N","N","N","N","N","N","Y","N","N","N","POINT (-114.1600592 51.0319846)"
